PS D:\CS780\CS780-OBELIX-main\CS780-OBELIX-main> python train_d3qn_per.py --episodes 6000 --difficulty 2 --wall_obstacles --resume weights_d3qn.pth 
Device: cuda
Resumed from weights_d3qn.pth

Training D3QN-PER | episodes=6000 | walls=ON | difficulty=2
======================================================================
Ep    25/6000 | steps=   25000 | mean_r=  -5422.0 | success=  0.0% | loss=0.1287 | eps=0.498 | beta=0.403 | stuck=  22.2
Ep  1925/6000 | steps= 1898351 | mean_r= -47047.0 | success=  4.0% | loss=0.1350 | eps=0.348 | beta=0.628 | stuck= 230.9
Ep  1950/6000 | steps= 1921031 | mean_r= -52143.9 | success= 12.0% | loss=0.1248 | eps=0.346 | beta=0.631 | stuck= 257.6
Ep  1975/6000 | steps= 1943137 | mean_r= -53401.2 | success= 20.0% | loss=0.1193 | eps=0.345 | beta=0.633 | stuck= 264.8
Ep  2000/6000 | steps= 1967701 | mean_r= -56994.2 | success=  4.0% | loss=0.1032 | eps=0.343 | beta=0.636 | stuck= 280.7
Ep  2025/6000 | steps= 1992145 | mean_r= -46431.9 | success= 12.0% | loss=0.0949 | eps=0.341 | beta=0.639 | stuck= 228.7
Ep  2050/6000 | steps= 2015602 | mean_r= -47439.0 | success= 16.0% | loss=0.0844 | eps=0.339 | beta=0.642 | stuck= 234.4
Ep  2075/6000 | steps= 2038992 | mean_r= -40050.4 | success= 16.0% | loss=0.0768 | eps=0.337 | beta=0.645 | stuck= 197.5
Ep  2100/6000 | steps= 2063608 | mean_r= -51661.2 | success=  4.0% | loss=0.0711 | eps=0.335 | beta=0.648 | stuck= 254.0
Ep  2125/6000 | steps= 2088051 | mean_r= -47196.4 | success=  4.0% | loss=0.0660 | eps=0.333 | beta=0.651 | stuck= 231.7
Ep  2150/6000 | steps= 2112558 | mean_r= -44545.8 | success=  8.0% | loss=0.0645 | eps=0.331 | beta=0.654 | stuck= 218.8
Ep  2175/6000 | steps= 2136631 | mean_r= -38658.6 | success=  8.0% | loss=0.0602 | eps=0.329 | beta=0.656 | stuck= 189.5
Ep  2200/6000 | steps= 2161631 | mean_r= -34355.8 | success=  0.0% | loss=0.0579 | eps=0.327 | beta=0.659 | stuck= 167.0
Ep  2225/6000 | steps= 2186631 | mean_r= -47088.1 | success=  0.0% | loss=0.0540 | eps=0.325 | beta=0.662 | stuck= 230.6
Ep  2250/6000 | steps= 2211631 | mean_r= -38036.0 | success=  0.0% | loss=0.0511 | eps=0.323 | beta=0.665 | stuck= 185.3
Ep  2275/6000 | steps= 2236005 | mean_r= -28006.0 | success=  4.0% | loss=0.0461 | eps=0.321 | beta=0.668 | stuck= 135.8
Ep  2300/6000 | steps= 2259472 | mean_r= -27001.5 | success=  8.0% | loss=0.0431 | eps=0.319 | beta=0.671 | stuck= 131.3
Ep  2325/6000 | steps= 2283810 | mean_r= -34267.6 | success=  4.0% | loss=0.0396 | eps=0.317 | beta=0.674 | stuck= 167.1
Ep  2350/6000 | steps= 2308494 | mean_r= -23312.6 | success=  4.0% | loss=0.0370 | eps=0.315 | beta=0.677 | stuck= 112.2
Ep  2375/6000 | steps= 2333494 | mean_r= -18474.1 | success=  0.0% | loss=0.0333 | eps=0.313 | beta=0.680 | stuck=  87.6
Ep  2400/6000 | steps= 2358129 | mean_r= -22327.6 | success=  4.0% | loss=0.0310 | eps=0.311 | beta=0.683 | stuck= 107.3
Ep  2425/6000 | steps= 2381210 | mean_r= -15506.4 | success= 16.0% | loss=0.0284 | eps=0.310 | beta=0.686 | stuck=  74.8
Ep  2450/6000 | steps= 2404727 | mean_r= -11345.8 | success= 12.0% | loss=0.0264 | eps=0.308 | beta=0.689 | stuck=  53.5
Ep  2475/6000 | steps= 2428970 | mean_r= -16157.6 | success=  4.0% | loss=0.0245 | eps=0.306 | beta=0.691 | stuck=  76.5
Ep  2500/6000 | steps= 2453970 | mean_r= -12768.2 | success=  0.0% | loss=0.0223 | eps=0.304 | beta=0.694 | stuck=  59.0
Ep  2525/6000 | steps= 2478053 | mean_r= -14486.4 | success=  4.0% | loss=0.0211 | eps=0.302 | beta=0.697 | stuck=  68.2
