PS D:\IITK SEM 4\CS780-OBELIX-main> python train_d3qn_per.py --episodes 10000 --wall_obstacles --resume weights_d3qn_final.pth
Device: cpu
Resumed from weights_d3qn_final.pth

Training D3QN-PER | episodes=10000 | walls=ON | difficulty=3
======================================================================
Ep  3550/10000 | steps= 3277158 | mean_r= -36591.5 | success= 16.0% | loss=0.0443 | eps=0.631 | beta=0.646 | stuck= 139.0
Ep  3575/10000 | steps= 3301007 | mean_r= -36023.8 | success= 12.0% | loss=0.0449 | eps=0.629 | beta=0.648 | stuck= 132.2
Ep  3600/10000 | steps= 3324236 | mean_r= -32669.9 | success= 12.0% | loss=0.0403 | eps=0.626 | beta=0.649 | stuck= 124.0
Ep  3625/10000 | steps= 3348306 | mean_r= -34638.2 | success=  8.0% | loss=0.0402 | eps=0.623 | beta=0.651 | stuck= 125.7
Ep  3650/10000 | steps= 3372085 | mean_r= -26323.4 | success= 16.0% | loss=0.0416 | eps=0.621 | beta=0.653 | stuck=  87.3
Ep  3675/10000 | steps= 3394903 | mean_r= -31337.4 | success= 24.0% | loss=0.0413 | eps=0.618 | beta=0.655 | stuck= 112.2
Ep  3700/10000 | steps= 3417699 | mean_r= -30099.4 | success= 16.0% | loss=0.0372 | eps=0.616 | beta=0.656 | stuck= 109.2
Ep  3725/10000 | steps= 3440103 | mean_r= -29067.6 | success= 20.0% | loss=0.0384 | eps=0.613 | beta=0.658 | stuck= 103.4
Ep  3750/10000 | steps= 3462025 | mean_r= -36058.6 | success= 24.0% | loss=0.0368 | eps=0.611 | beta=0.660 | stuck= 139.7
Ep  3775/10000 | steps= 3484019 | mean_r= -26515.9 | success= 24.0% | loss=0.0369 | eps=0.608 | beta=0.661 | stuck=  97.0
Ep  3800/10000 | steps= 3508166 | mean_r= -30285.2 | success=  8.0% | loss=0.0355 | eps=0.605 | beta=0.663 | stuck=  99.9
Ep  3825/10000 | steps= 3533071 | mean_r= -34530.5 | success=  8.0% | loss=0.0358 | eps=0.603 | beta=0.665 | stuck= 117.4
Ep  3850/10000 | steps= 3556309 | mean_r= -36036.4 | success= 12.0% | loss=0.1567 | eps=0.600 | beta=0.667 | stuck= 139.3
Ep  3875/10000 | steps= 3579529 | mean_r= -32133.1 | success= 12.0% | loss=0.0963 | eps=0.597 | beta=0.668 | stuck= 112.7
Ep  3900/10000 | steps= 3603574 | mean_r= -28609.8 | success=  8.0% | loss=0.0427 | eps=0.595 | beta=0.670 | stuck=  96.0
Ep  3925/10000 | steps= 3628536 | mean_r= -38436.8 | success=  4.0% | loss=0.0330 | eps=0.592 | beta=0.672 | stuck= 141.7
Ep  3950/10000 | steps= 3651903 | mean_r= -25739.6 | success= 12.0% | loss=0.0277 | eps=0.589 | beta=0.674 | stuck=  84.0
Ep  3975/10000 | steps= 3675209 | mean_r= -30997.0 | success= 16.0% | loss=0.0306 | eps=0.587 | beta=0.676 | stuck= 105.3
Ep  4000/10000 | steps= 3697188 | mean_r= -17431.3 | success= 24.0% | loss=0.0304 | eps=0.584 | beta=0.677 | stuck=  54.1
Ep  4025/10000 | steps= 3721071 | mean_r= -24740.0 | success=  8.0% | loss=0.0310 | eps=0.581 | beta=0.679 | stuck=  81.5
Ep  4050/10000 | steps= 3743846 | mean_r= -24228.4 | success= 16.0% | loss=0.0283 | eps=0.579 | beta=0.681 | stuck=  82.8
Ep  4075/10000 | steps= 3768069 | mean_r= -31661.8 | success= 12.0% | loss=0.0286 | eps=0.576 | beta=0.683 | stuck= 118.0
Ep  4100/10000 | steps= 3788894 | mean_r= -26515.0 | success= 24.0% | loss=0.0220 | eps=0.574 | beta=0.684 | stuck=  94.6
Ep  4125/10000 | steps= 3812333 | mean_r= -31875.0 | success= 16.0% | loss=0.0290 | eps=0.571 | beta=0.686 | stuck= 110.1
Ep  4150/10000 | steps= 3834500 | mean_r= -31077.8 | success= 20.0% | loss=0.0268 | eps=0.569 | beta=0.688 | stuck= 116.5
Ep  4175/10000 | steps= 3858107 | mean_r= -34069.8 | success=  8.0% | loss=0.0243 | eps=0.566 | beta=0.689 | stuck= 124.9
Ep  4200/10000 | steps= 3881543 | mean_r= -26175.4 | success=  8.0% | loss=0.0267 | eps=0.563 | beta=0.691 | stuck=  89.3
Ep  4225/10000 | steps= 3904380 | mean_r= -33782.8 | success= 24.0% | loss=0.0243 | eps=0.561 | beta=0.693 | stuck= 122.6
Ep  4250/10000 | steps= 3926607 | mean_r= -26810.5 | success= 16.0% | loss=0.0254 | eps=0.558 | beta=0.694 | stuck= 102.6
Ep  4275/10000 | steps= 3950368 | mean_r= -30776.8 | success= 12.0% | loss=0.0227 | eps=0.556 | beta=0.696 | stuck= 115.6
Ep  4300/10000 | steps= 3973950 | mean_r= -30768.3 | success= 16.0% | loss=0.0247 | eps=0.553 | beta=0.698 | stuck= 115.2
Ep  4325/10000 | steps= 3998122 | mean_r= -39930.7 | success=  4.0% | loss=0.0491 | eps=0.550 | beta=0.700 | stuck= 152.3
Ep  4350/10000 | steps= 4022058 | mean_r= -29296.0 | success=  8.0% | loss=0.0608 | eps=0.548 | beta=0.702 | stuck= 106.1
Ep  4375/10000 | steps= 4045667 | mean_r= -38238.1 | success=  8.0% | loss=0.0717 | eps=0.545 | beta=0.703 | stuck= 151.6
Ep  4400/10000 | steps= 4069908 | mean_r= -42917.6 | success=  8.0% | loss=0.0486 | eps=0.542 | beta=0.705 | stuck= 166.4
Ep  4425/10000 | steps= 4092323 | mean_r= -27321.4 | success= 16.0% | loss=0.0572 | eps=0.540 | beta=0.707 | stuck= 105.9
